state,people,x,y
София,1307439,-296,-28
Пловдив,662907,-102,-81
Варна,468614,266,67
Бургас,408704,217,-34
Стара Загора,307140,-23,-61
Благоевград,298251,-283,-190
Пазарджик,247360,-199,-122
Софийска Област,233607,-243,-15
Плевен,228300,-120,129
Велико Търново,225674,-20,68
Хасково,220269,45,-166
Русе,209084,40,152
Сливен,180058,73,-19
Шумен,169423,180,91
Добрич,167314,319,151
Кърджали,161024,-12,-233
Враца,153700,-234,110
Монтана,122179,-312,133
Ловеч,119780,-127,40
Перник,118023,-360,-33
Ямбол,114361,143,-94
Кюстендил,113440,-356,-96
Търговище,108117,90,76
Разград,107764,130,153
Силистра,104869,202,206
Габрово,103404,-46,23
Смолян,99318,-110,-202
Видин,78814,-381,167